1442636111,满满牌芋泥奶露,15年的评论了……
19712407,小撸猫,这歌是Flash流行的年代，听到这歌有一种想哭的感觉。
4004694072,未来可期_bfZR,异国恋呢？
1946268782,也许是珊瑚,异地恋真的好辛苦
4004694072,未来可期_bfZR,暖暖？
4890405952,云村村民161287188156121,都没有人知道站在小火车上唱的那首歌曲的歌名了吗？
4979878543,夏浩高冷帅气,"这好神奇呀
男孩子都是视觉动物
他第一次看见我
一见钟情
其实他妈妈把他生下来，真好
因为世界上又多了一个喜欢我的男孩子
我想以后让他做我的男朋友
我觉得他可以的

是啊，幻想也是梦想
可是只要对方愿意，那就是现实了
我觉得简单点就好"
632427850,细胞色素啊,有人喜欢林依晨嘛，没有的话我等下再问一遍，都喜欢鸭
487376135,日日夜夜陪我在这里,祝福
494502250,我曾许你一生的远方,2018.8月认识他 当时还没离婚 一路从无人之境熬到孤单北半球 后来我离婚了 他去了国外工作 疫情回不来 2020.2他定了5.9回国的机票 血检阳性 今天5.23 他本来应该在我身边了 终于靠近稳稳的幸福的时候 老天还是给了一次又一次考验 我还在等 不想放开这个温柔的男孩子
487376135,日日夜夜陪我在这里,应该是暖暖吧
4890405952,云村村民161287188156121,梁静茹站在小火车上唱的那首歌的歌名是什么，有没有朋友知道
4890405952,云村村民161287188156121,都没有人知道站在小火车上唱的那首歌曲的歌名了吗？
566129408,____柏拉图___,好老的歌，想着不会还有人评论吧，好家伙，六分钟之前还有人评哈哈哈
566129408,____柏拉图___,好老的歌，想着不会还有人评论吧，好家伙，六分钟之前还有人评哈哈哈
4890405952,云村村民161287188156121,梁静茹站在小火车上唱的那首歌的歌名是什么，有没有朋友知道
4890405952,云村村民161287188156121,梁静茹站在小火车上唱的那首歌的歌名是什么，有没有朋友知道
1376280190,一只狗毛,好巧嘿嘿
606080621,小海树啦,www我也是
606080621,小海树啦,w 听不腻
606080621,小海树啦,我会耐心的等 等你有一天靠岸
606080621,小海树啦,我的梦通通给你保管～
606080621,小海树啦,要辛福呀
498664751,当杜昂哦哦那我,"我们相恋于2009年8月19日
分手于2010年10月5日，和好于
2013年4月8日 ，结婚于2015年8月19日 ，2016.10.8.15.57有了宝贝娇娇       ，于4月15日闹别扭，，，于4月18重新和好！像刚谈恋爱一样。"
606080621,小海树啦,www我也是
1376280190,一只狗毛,看了《总有老师要请家长gl》过来的
494502250,我曾许你一生的远方,5.21他的生日 前一夜我梦见他 惊醒的时间 他刚好起床 时差四个小时 有时候我觉得我们被一根看不见的线绑在了一起 这样最好 天涯海角 时隔相久 人来人往 希望到了最后 会在一起
494502250,我曾许你一生的远方,2018.8月认识他 当时还没离婚 一路从无人之境熬到孤单北半球 后来我离婚了 他去了国外工作 疫情回不来 2020.2他定了5.9回国的机票 血检阳性 今天5.23 他本来应该在我身边了 终于靠近稳稳的幸福的时候 老天还是给了一次又一次考验 我还在等 不想放开这个温柔的男孩子
494502250,我曾许你一生的远方,2018.8月认识他 当时还没离婚 一路从无人之境熬到孤单北半球 后来我离婚了 他去了国外工作 疫情回不来 2020.2他定了5.9回国的机票 血检阳性 今天5.23 他本来应该在我身边了 终于靠近稳稳的幸福的时候 老天还是给了一次又一次考验 我还在等 不想放开这个温柔的男孩子
372583448,i1zzz,啊，这！！
49609272,爱八月的小猴子爱吃桃子,上班的时候听着歌，   最大的乐趣就是看网易云音乐的评论，每个人心里都有一个小秘密，让我们一起小心的呵护它
4004416788,BestSarah,所爱隔山海，山海皆可平
390029457,张张张jh7,等一个明白我北半球孤单的女孩
